author,year,title,journal,citation,author_term,location,pondname,humanbuilt_manipulated,ponduse,landuse,managed,surfacewaterconnectivity,hydroperiod,min_depth_m,max_depth_m,mean_depth_m,min_surfacearea_m2,max_surfacearea_m2,mean_surfacearea_m2,fishpresence,macrophytespresence,macrophytes_percentcover,ph,turbidity_secchi_m,tss_mgpl,doc_mgpl,chla_ugpl,tp_ugpl,tn_ugpl,cond_uspcm
tuytens; karen; vanschoenwinkel; bram; waterkeyn; aline; brendonck; luc,2014,predictions of climate change infer increased environmental harshness and altered connectivity in a cluster of temporary pools,freshwater biology,Tuytens K.; Vanschoenwinkel B.; Waterkeyn A.; Brendonck L. 2014. Predictions of climate change infer increased environmental harshness and altered connectivity in a cluster of temporary pools. Freshwater Biology; 59: 955-968.,rock pools,korannaberg mountain; free state province; south africa,p5,NA,natural,other,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tuytens; karen; vanschoenwinkel; bram; waterkeyn; aline; brendonck; luc,2014,predictions of climate change infer increased environmental harshness and altered connectivity in a cluster of temporary pools,freshwater biology,Tuytens K.; Vanschoenwinkel B.; Waterkeyn A.; Brendonck L. 2014. Predictions of climate change infer increased environmental harshness and altered connectivity in a cluster of temporary pools. Freshwater Biology; 59: 955-968.,rock pools,korannaberg mountain; free state province; south africa,p6,NA,natural,other,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tuytens; karen; vanschoenwinkel; bram; waterkeyn; aline; brendonck; luc,2014,predictions of climate change infer increased environmental harshness and altered connectivity in a cluster of temporary pools,freshwater biology,Tuytens K.; Vanschoenwinkel B.; Waterkeyn A.; Brendonck L. 2014. Predictions of climate change infer increased environmental harshness and altered connectivity in a cluster of temporary pools. Freshwater Biology; 59: 955-968.,rock pools,korannaberg mountain; free state province; south africa,p7,NA,natural,other,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tuytens; karen; vanschoenwinkel; bram; waterkeyn; aline; brendonck; luc,2014,predictions of climate change infer increased environmental harshness and altered connectivity in a cluster of temporary pools,freshwater biology,Tuytens K.; Vanschoenwinkel B.; Waterkeyn A.; Brendonck L. 2014. Predictions of climate change infer increased environmental harshness and altered connectivity in a cluster of temporary pools. Freshwater Biology; 59: 955-968.,rock pools,korannaberg mountain; free state province; south africa,p8,NA,natural,other,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calabro et al,2013,application and transferability of great lakes coastal wetland indices of biotic integrity to high quality inland lakes of beaver island in northern lake michigan,aquatic ecosystem health and management,Calabro Eric; Murry Brent; Woolnough Daelyn; Uzarski Donald. 2013. Application and transferability of Great Lake coastal wetland indices of biotic integrity to high quality inland lakes of Beaver Island in northern Lake Michigan. Aquatic Ecosystem Health and Management; 16: 338-346.,inland-lake,beaver island in lake michigan; mi; usa,geneserath,NA,NA,multiple,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
calabro et al,2013,application and transferability of great lakes coastal wetland indices of biotic integrity to high quality inland lakes of beaver island in northern lake michigan,aquatic ecosystem health and management,Calabro Eric; Murry Brent; Woolnough Daelyn; Uzarski Donald. 2013. Application and transferability of Great Lake coastal wetland indices of biotic integrity to high quality inland lakes of Beaver Island in northern Lake Michigan. Aquatic Ecosystem Health and Management; 16: 338-346.,inland-lake,beaver island in lake michigan; mi; usa,font,NA,NA,multiple,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
calabro et al,2013,application and transferability of great lakes coastal wetland indices of biotic integrity to high quality inland lakes of beaver island in northern lake michigan,aquatic ecosystem health and management,Calabro Eric; Murry Brent; Woolnough Daelyn; Uzarski Donald. 2013. Application and transferability of Great Lake coastal wetland indices of biotic integrity to high quality inland lakes of Beaver Island in northern Lake Michigan. Aquatic Ecosystem Health and Management; 16: 338-346.,inland-lake,beaver island in lake michigan; mi; usa,greene's,NA,NA,multiple,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
calabro et al,2013,application and transferability of great lakes coastal wetland indices of biotic integrity to high quality inland lakes of beaver island in northern lake michigan,aquatic ecosystem health and management,Calabro Eric; Murry Brent; Woolnough Daelyn; Uzarski Donald. 2013. Application and transferability of Great Lake coastal wetland indices of biotic integrity to high quality inland lakes of Beaver Island in northern Lake Michigan. Aquatic Ecosystem Health and Management; 16: 338-346.,inland-lake,beaver island in lake michigan; mi; usa,fox,NA,NA,forested,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
calabro et al,2013,application and transferability of great lakes coastal wetland indices of biotic integrity to high quality inland lakes of beaver island in northern lake michigan,aquatic ecosystem health and management,Calabro Eric; Murry Brent; Woolnough Daelyn; Uzarski Donald. 2013. Application and transferability of Great Lake coastal wetland indices of biotic integrity to high quality inland lakes of Beaver Island in northern Lake Michigan. Aquatic Ecosystem Health and Management; 16: 338-346.,inland-lake,beaver island in lake michigan; mi; usa,barney's,NA,NA,multiple,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
harrison et al,2012,global importance; patterns; and controls of dissolved silica retention in lakes and reservoirs,global biogeochemical cycles,Harrison J.A.; Frings P.J.; Beusen A.H.W.; Conley D.J.; McCrackin M.L. 2012. Global importance patterns and controls of dissolved silica retention in lakes and reservoirs Global Biogeochemical Cycles; 26: GB2037.,lakes and reservoirs (broken into small and large),us,mirror,NA,NA,NA,NA,NA,NA,NA,NA,5.75,NA,NA,150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harrison et al,2012,global importance; patterns; and controls of dissolved silica retention in lakes and reservoirs,global biogeochemical cycles,Harrison J.A.; Frings P.J.; Beusen A.H.W.; Conley D.J.; McCrackin M.L. 2012. Global importance patterns and controls of dissolved silica retention in lakes and reservoirs Global Biogeochemical Cycles; 26: GB2037.,lakes and reservoirs (broken into small and large),hudson's bay,p&n,NA,NA,NA,NA,NA,NA,NA,NA,3.28,NA,NA,70900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harrison et al,2012,global importance; patterns; and controls of dissolved silica retention in lakes and reservoirs,global biogeochemical cycles,Harrison J.A.; Frings P.J.; Beusen A.H.W.; Conley D.J.; McCrackin M.L. 2012. Global importance patterns and controls of dissolved silica retention in lakes and reservoirs Global Biogeochemical Cycles; 26: GB2037.,lakes and reservoirs (broken into small and large),hudson's bay,far,NA,NA,NA,NA,NA,NA,NA,NA,3.61,NA,NA,37000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harrison et al,2012,global importance; patterns; and controls of dissolved silica retention in lakes and reservoirs,global biogeochemical cycles,Harrison J.A.; Frings P.J.; Beusen A.H.W.; Conley D.J.; McCrackin M.L. 2012. Global importance patterns and controls of dissolved silica retention in lakes and reservoirs Global Biogeochemical Cycles; 26: GB2037.,lakes and reservoirs (broken into small and large),hudson's bay,spring,NA,NA,NA,NA,NA,NA,NA,NA,2.71,NA,NA,69300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
harrison et al,2012,global importance; patterns; and controls of dissolved silica retention in lakes and reservoirs,global biogeochemical cycles,Harrison J.A.; Frings P.J.; Beusen A.H.W.; Conley D.J.; McCrackin M.L. 2012. Global importance patterns and controls of dissolved silica retention in lakes and reservoirs Global Biogeochemical Cycles; 26: GB2037.,lakes and reservoirs (broken into small and large),hudson's bay,jade,NA,NA,NA,NA,NA,NA,NA,NA,1.82,NA,NA,36300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,water st.,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,3374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,carnegie,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,5171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,chemong,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,1063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,glenforest,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,1657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,NA,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,NA,NA,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,NA,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,loggerhead,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,5164.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,NA,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,7 3,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,1027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,7 4,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,8 3,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,1698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,2 3,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,1688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,9 9,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,4314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,16 8,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,16 4,NA,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,4620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,17 3,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,19 9,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,2098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,19 8,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,1549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,19 4,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,3120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,9 5,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,1129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,9 6,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,1698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,8 10,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,57 1,NA,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,65 1,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,68 2,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,33 1,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,34 2,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,3 2,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1409,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,21000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1410,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,29000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1139,y,stormwater,multiple,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1206,y,stormwater,multiple,NA,NA,NA,NA,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1207,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1211,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,22000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1215,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1227,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1306,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1309,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1320,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1610,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1611,y,stormwater,multiple,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1628,y,stormwater,multiple,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1902,y,stormwater,industrial,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcenroe et al,2013,distinct optical chemistry of dissolved organic matter in urban pond ecosystems,plosone,McEnroe NA; Williams CJ; Xenopoulos MA; Porcal P; Frost PC.2013. Distinct optical chemistry of dissolved organic matter in urban pond ecosystems. PLoS One; 8(11): e80334.,urban ponds,s ontario; canada,swf-1930,y,stormwater,other,NA,NA,NA,NA,NA,NA,NA,NA,33000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
morris et al,2013,contribution of donana wetlands to carbon sequestration,plosone,Morris EP; Flecha S; Figuerola J; Costas E; Navarro G; Ruiz J; et al. 2013. Contribution of Doñana Wetlands to Carbon Sequestration. PLoS One; 8(8): e71456.,dune ponds,donana natural area; spain,cuquero grande,NA,NA,NA,NA,NA,intermittent,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,1.2563506,6.5,NA,NA,NA
